t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562724534.7393827,+1.5988,+002.11,+1.6862,0,000,+324.9
1562724578.787068,+1.5988,+002.11,+1.6863,0,000,+324.9
1562724622.8347511,+1.5988,+002.11,+1.6863,0,000,+324.9
1562724666.882376,+1.5989,+002.10,+1.6863,0,000,+324.9
1562724710.925741,+1.5989,+002.10,+1.6863,0,000,+324.9
1562724754.9735265,+1.5988,+002.11,+1.6863,0,000,+324.9
1562724799.0212908,+1.5988,+002.11,+1.6863,0,000,+324.9
1562724843.0690148,+1.5988,+002.10,+1.6863,0,000,+324.9
1562724887.116722,+1.5988,+002.11,+1.6862,0,000,+324.9
1562724931.1643574,+1.5988,+002.11,+1.6862,0,000,+324.9
1562724975.21205,+1.5989,+002.10,+1.6863,0,000,+324.9
1562725019.2597466,+1.5989,+002.11,+1.6864,0,000,+324.9
1562725063.3073492,+1.5988,+002.11,+1.6863,0,000,+324.9
1562725107.35505,+1.5988,+002.11,+1.6862,0,000,+324.9
1562725151.402573,+1.5989,+002.11,+1.6863,0,000,+324.9
1562725195.4503064,+1.5989,+002.11,+1.6864,0,000,+324.9
1562725239.4979522,+1.5989,+002.11,+1.6864,0,000,+324.9
1562725283.5456614,+1.5989,+002.10,+1.6864,0,000,+324.9
1562725327.5933928,+1.5988,+002.11,+1.6863,0,000,+324.9
1562725371.6410127,+1.5988,+002.11,+1.6862,0,000,+324.9
1562725415.6886737,+1.5989,+002.11,+1.6862,0,000,+000.95
1562725459.7362382,+1.5988,+002.11,+1.6863,0,000,+000.95
1562725503.7838645,+1.5987,+002.11,+1.6863,0,000,+000.95
1562725547.8315017,+1.5989,+002.10,+1.6864,0,000,+000.95
1562725591.879141,+1.5989,+002.11,+1.6863,0,000,+000.95
1562725635.9267304,+1.5988,+002.11,+1.6862,0,000,+000.95
1562725679.9744933,+1.5988,+002.11,+1.6863,0,000,+000.95
1562725724.0222085,+1.5988,+002.11,+1.6863,0,000,+000.95
1562725768.0677295,+1.5989,+002.10,+1.6864,0,000,+000.95
1562725812.1153731,+1.5988,+002.11,+1.6863,0,000,+000.95
1562725856.1631312,+1.5989,+002.11,+1.6863,0,000,+000.95
1562725900.210769,+1.5989,+002.10,+1.6864,0,000,+000.95
1562725944.2584405,+1.5989,+002.10,+1.6865,0,000,+000.95
1562725988.3061745,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726032.3538046,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726076.4014513,+1.5989,+002.10,+1.6863,0,000,+000.95
1562726120.4477704,+1.5989,+002.10,+1.6863,0,000,+000.95
1562726164.495583,+1.5989,+002.11,+1.6864,0,000,+000.95
1562726208.5433815,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726252.5910745,+1.5989,+002.10,+1.6863,0,000,+000.95
1562726296.638736,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726340.6864114,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726384.7339804,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726428.7816615,+1.5990,+002.10,+1.6864,0,000,+000.95
1562726472.8294277,+1.5990,+002.10,+1.6864,0,000,+000.95
1562726516.8771307,+1.5989,+002.10,+1.6863,0,000,+000.95
1562726560.9241354,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726604.968604,+1.5989,+002.10,+1.6863,0,000,+000.95
1562726649.01629,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726693.0640965,+1.5988,+002.11,+1.6863,0,000,+000.95
1562726737.111876,+1.5988,+002.11,+1.6863,0,000,+000.95
1562726781.1597412,+1.5988,+002.11,+1.6862,0,000,+000.95
1562726825.2076695,+1.5988,+002.11,+1.6862,0,000,+000.95
1562726869.255592,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726913.303404,+1.5989,+002.10,+1.6864,0,000,+000.95
1562726957.351102,+1.5989,+002.11,+1.6864,0,000,+000.95
1562727001.3987722,+1.5989,+002.10,+1.6865,0,000,+000.95
1562727045.4464962,+1.5990,+002.10,+1.6864,0,000,+000.95
1562727089.494231,+1.5989,+002.11,+1.6864,0,000,+000.95
1562727133.5419855,+1.5989,+002.10,+1.6865,0,000,+000.95
1562727177.5896835,+1.5989,+002.10,+1.6864,0,000,+000.95
1562727221.6374612,+1.5989,+002.10,+1.6863,0,000,+000.95
1562727265.6851177,+1.5989,+002.11,+1.6863,0,000,+000.95
1562727309.7329206,+1.5988,+002.11,+1.6861,0,000,+000.95
1562727353.7806869,+1.5988,+002.11,+1.6864,0,000,+000.95
1562727397.8276205,+1.5989,+002.10,+1.6865,0,000,+000.95
1562727441.8755283,+1.5989,+002.11,+1.6863,0,000,+000.95
1562727485.9233246,+1.5990,+002.10,+1.6864,0,000,+000.95
1562727529.971128,+1.5989,+002.10,+1.6863,0,000,+000.95
1562727574.01895,+1.5988,+002.11,+1.6863,0,000,+000.95
1562727618.0666957,+1.5989,+002.10,+1.6864,0,000,+000.95
1562727662.1145263,+1.5990,+002.10,+1.6865,0,000,+000.95
1562727706.162304,+1.5989,+002.10,+1.6865,0,000,+000.95
1562727750.2101467,+1.5989,+002.10,+1.6864,0,000,+000.95
1562727794.257955,+1.5989,+002.10,+1.6863,0,000,+000.95
1562727838.3025374,+1.5989,+002.11,+1.6862,0,000,+000.95
1562727882.3503907,+1.5988,+002.11,+1.6863,0,000,+000.95
1562727926.3982556,+1.5988,+002.11,+1.6862,0,000,+000.95
1562727970.4459476,+1.5988,+002.11,+1.6862,0,000,+000.95
1562728014.4938424,+1.5987,+002.11,+1.6862,0,000,+000.95
1562728058.5415893,+1.5988,+002.11,+1.6862,0,000,+000.95
1562728102.5896327,+1.5988,+002.11,+1.6863,0,000,+000.95
1562728146.637595,+1.5987,+002.11,+1.6862,0,000,+000.95
1562728190.685693,+1.5988,+002.11,+1.6862,0,000,+000.95
1562728234.7336576,+1.5988,+002.11,+1.6863,0,000,+000.95
1562728278.7813227,+1.5989,+002.11,+1.6863,0,000,+000.95
