t,Sensor T [K],Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562720698.365959,+003.42,+1.6514,+003.37,+1.6526,0,000,+000.95
1562720750.42193,+003.41,+1.6514,+003.37,+1.6526,0,000,+000.95
1562720802.4766448,+003.41,+1.6514,+003.37,+1.6525,0,000,+000.95
1562720854.5330787,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562720906.58941,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562720958.6457026,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562721010.7019227,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562721062.7582178,+003.41,+1.6514,+003.37,+1.6526,0,000,+324.9
1562721114.8144891,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562721166.8707356,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562721218.9217713,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562721270.9781494,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562721323.0345147,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562721375.090887,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562721427.1470313,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562721479.2032707,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562721531.2595918,+003.42,+1.6514,+003.37,+1.6526,0,000,+324.9
1562721583.3156796,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562721635.3716633,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562721687.4277525,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562721739.4839582,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562721791.540181,+003.42,+1.6513,+003.37,+1.6524,0,000,+324.9
1562721843.5964668,+003.42,+1.6512,+003.38,+1.6523,0,000,+324.9
1562721895.6526923,+003.43,+1.6511,+003.38,+1.6524,0,000,+324.9
1562721947.708916,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562721999.765155,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562722051.82146,+003.41,+1.6513,+003.37,+1.6526,0,000,+324.9
1562722103.8776586,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562722155.9338737,+003.42,+1.6513,+003.38,+1.6523,0,000,+324.9
1562722207.9893541,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562722260.0390654,+003.41,+1.6515,+003.37,+1.6525,0,000,+324.9
1562722312.0952508,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562722364.1513815,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562722416.2074711,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562722468.2635663,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562722520.3198442,+003.42,+1.6512,+003.38,+1.6523,0,000,+324.9
1562722572.3762302,+003.42,+1.6511,+003.38,+1.6523,0,000,+324.9
1562722624.432743,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562722676.4892035,+003.42,+1.6512,+003.38,+1.6523,0,000,+324.9
1562722728.545726,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562722780.6018133,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562722832.6580942,+003.42,+1.6513,+003.37,+1.6524,0,000,+324.9
1562722884.7128296,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562722936.7689135,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562722988.8254352,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562723040.8815787,+003.42,+1.6514,+003.37,+1.6526,0,000,+324.9
1562723092.9368298,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562723144.9931457,+003.41,+1.6513,+003.38,+1.6523,0,000,+324.9
1562723197.0497055,+003.42,+1.6512,+003.38,+1.6523,0,000,+324.9
1562723249.105324,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562723301.1619375,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562723353.21863,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562723405.2752774,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562723457.3321137,+003.41,+1.6515,+003.37,+1.6526,0,000,+324.9
1562723509.388872,+003.41,+1.6515,+003.37,+1.6526,0,000,+324.9
1562723561.440992,+003.41,+1.6514,+003.37,+1.6526,0,000,+324.9
1562723613.4976385,+003.42,+1.6514,+003.38,+1.6525,0,000,+324.9
1562723665.5544205,+003.42,+1.6513,+003.37,+1.6524,0,000,+324.9
1562723717.6111333,+003.42,+1.6513,+003.37,+1.6524,0,000,+324.9
1562723769.6677995,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562723821.7243478,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562723873.7808983,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562723925.836809,+003.42,+1.6512,+003.38,+1.6523,0,000,+324.9
1562723977.8931308,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562724029.9490535,+003.42,+1.6513,+003.38,+1.6523,0,000,+324.9
1562724082.0056908,+003.42,+1.6513,+003.38,+1.6523,0,000,+324.9
1562724134.0622976,+003.42,+1.6512,+003.38,+1.6525,0,000,+324.9
1562724186.1188006,+003.42,+1.6514,+003.37,+1.6526,0,000,+324.9
1562724238.1754296,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562724290.232062,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724342.2887962,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724394.345548,+003.41,+1.6515,+003.37,+1.6526,0,000,+324.9
1562724446.402365,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562724498.4587786,+003.42,+1.6513,+003.37,+1.6524,0,000,+324.9
1562724550.5150518,+003.42,+1.6513,+003.38,+1.6524,0,000,+324.9
1562724602.5715325,+003.42,+1.6512,+003.38,+1.6524,0,000,+324.9
1562724654.6279597,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562724706.6843562,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724758.7408054,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724810.7971811,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724862.8536527,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562724914.9097207,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562724966.9648087,+003.42,+1.6515,+003.37,+1.6525,0,000,+324.9
1562725019.0214624,+003.41,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725071.0778053,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725123.1343966,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725175.1910396,+003.41,+1.6514,+003.37,+1.6526,0,000,+324.9
1562725227.2435653,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725279.2999816,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725331.356266,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725383.4125524,+003.42,+1.6513,+003.37,+1.6525,0,000,+324.9
1562725435.4690273,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562725487.5254178,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562725539.5816355,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725591.6380184,+003.41,+1.6513,+003.37,+1.6524,0,000,+324.9
1562725643.6943915,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562725695.750742,+003.42,+1.6514,+003.37,+1.6525,0,000,+324.9
1562725747.8070698,+003.42,+1.6514,+003.37,+1.6526,0,000,+324.9
1562725799.86325,+003.42,+1.6513,+003.38,+1.6525,0,000,+324.9
1562725851.9195461,+003.41,+1.6514,+003.37,+1.6526,0,000,+324.9
1562725903.9757931,+003.41,+1.6515,+003.37,+1.6527,0,000,+324.9
1562725956.0320683,+003.41,+1.6515,+003.37,+1.6527,0,000,+324.9
