t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1564250531.500649,+0.5737,+294.9,+0.5310,0,000,+324.9
1564250563.536387,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250595.5720706,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250627.6078584,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250659.643621,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250691.6778944,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250723.7134912,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250755.7490828,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250787.7846038,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250819.820222,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250851.855674,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250883.8912213,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250915.9253924,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250947.9595068,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250979.9951372,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251012.0305383,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251044.0662138,+0.5736,+294.9,+0.5311,0,000,+324.9
1564251076.1016536,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251108.1374044,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251140.1728225,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251172.2085135,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251204.2440586,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251236.279737,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251268.3152235,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251300.3505135,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251332.3859482,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251364.421498,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251396.4570308,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251428.4926271,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251460.5267556,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251492.5625553,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251524.5983021,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251556.633974,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251588.6697683,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251620.7053983,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251652.7412066,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251684.776886,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251716.8113232,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251748.846352,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251780.881803,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251812.917356,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251844.9516804,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251876.9875538,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251909.0235126,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251941.0594203,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251973.0951226,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252005.130864,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252037.1664355,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252069.2018769,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252101.2376363,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252133.2734327,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252165.309209,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252197.3451366,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252229.3808694,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252261.4166293,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252293.4507844,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252325.486734,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252357.5226297,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252389.5587022,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252421.5946374,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252453.6304934,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252485.6644866,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252517.700244,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252549.7359579,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252581.7715447,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252613.807205,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252645.8427987,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252677.8786473,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252709.9143922,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252741.9502995,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252773.9836557,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252806.0177932,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252838.0532446,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252870.0884182,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252902.1240673,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252934.1595316,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252966.1952505,+0.5736,+295.0,+0.5310,0,000,+324.9
1564252998.2307186,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253030.2664676,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253062.3019872,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253094.3377104,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253126.373138,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253158.4086812,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253190.4440343,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253222.4796045,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253254.5150862,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253286.5504608,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253318.5859628,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253350.6214175,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253382.6569872,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253414.6923077,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253446.7278998,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253478.7633646,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253510.7990785,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253542.8345723,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253574.870246,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253606.9057531,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253638.9404714,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253670.9760263,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253703.0117438,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253735.0474021,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253767.0831342,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253799.118918,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253831.1545286,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253863.187843,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253895.2232416,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253927.2574513,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253959.2930691,+0.5736,+295.0,+0.5310,0,000,+324.9
1564253991.3287108,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254023.3643198,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254055.3999298,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254087.435455,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254119.471099,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254151.5066607,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254183.5423057,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254215.5778923,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254247.61342,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254279.6490235,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254311.6843112,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254343.7198927,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254375.7552567,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254407.7907405,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254439.8262825,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254471.8617034,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254503.8957734,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254535.9314766,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254567.9671035,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254600.002765,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254632.0385032,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254664.0741909,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254696.1098368,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254728.1444147,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254760.180045,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254792.2155852,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254824.251275,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254856.2867553,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254888.3225338,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254920.357868,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254952.3935819,+0.5736,+295.0,+0.5310,0,000,+324.9
1564254984.4273312,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255016.4629822,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255048.498546,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255080.5341191,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255112.5696125,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255144.6052144,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255176.6407616,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255208.6762714,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255240.7116969,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255272.7473123,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255304.7831066,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255336.8187141,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255368.8543847,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255400.889944,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255432.9254522,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255464.9609876,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255496.9967213,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255529.032399,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255561.0679233,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255593.1035435,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255625.1391938,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255657.1748736,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255689.210594,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255721.2462354,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255753.2817316,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255785.317358,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255817.3527143,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255849.3881612,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255881.4216473,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255913.4570525,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255945.492586,+0.5736,+295.0,+0.5310,0,000,+324.9
1564255977.5281398,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256009.563492,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256041.5987914,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256073.6343198,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256105.6695309,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256137.7049146,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256169.7404473,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256201.7757776,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256233.8109639,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256265.8465319,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256297.8820817,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256329.915479,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256361.9509459,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256393.9867225,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256426.02227,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256458.057879,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256490.0930843,+0.5736,+295.0,+0.5309,0,000,+324.9
1564256522.1286397,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256554.16421,+0.5736,+295.0,+0.5309,0,000,+324.9
1564256586.1998892,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256618.2355695,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256650.2708247,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256682.3064437,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256714.3419785,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256746.3777695,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256778.4132607,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256810.447187,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256842.4829113,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256874.5186949,+0.5736,+295.0,+0.5310,0,000,+324.9
1564256906.5543134,+0.5735,+295.0,+0.5310,0,000,+324.9
1564256938.5900342,+0.5735,+295.0,+0.5309,0,000,+324.9
1564256970.6255875,+0.5736,+295.0,+0.5310,0,000,+324.9
1564257002.6611738,+0.5735,+295.0,+0.5310,0,000,+324.9
1564257034.6939824,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257066.7295668,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257098.7653205,+0.5735,+295.0,+0.5310,0,000,+324.9
1564257130.8008735,+0.5736,+295.0,+0.5309,0,000,+324.9
1564257162.8365128,+0.5736,+295.0,+0.5310,0,000,+324.9
1564257194.8720999,+0.5735,+295.0,+0.5310,0,000,+324.9
1564257226.907836,+0.5735,+295.0,+0.5310,0,000,+324.9
1564257258.94147,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257290.9772036,+0.5735,+295.0,+0.5310,0,000,+324.9
1564257323.0129106,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257355.0486913,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257387.0843127,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257419.1200502,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257451.1557107,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257483.1915,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257515.2272387,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257547.2629256,+0.5735,+295.0,+0.5309,0,000,+324.9
